"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Windsor School District","900387000","2012-2013","Non-Special Education","Four Year Graduation Count","Number",260
"Woodstock Academy District","","2010-2011","Non-Special Education","Four Year Graduation Count","Number",260
"Groton School District","901134250","2011-2012","Non-Special Education","Four Year Graduation Count","Number",259
"Monroe School District","900148620","2015-2016","Non-Special Education","Total Cohort Count","Number",259
"Newington School District","900352140","2015-2016","Non-Special Education","Total Cohort Count","Number",259
"Regional School District 08","","2011-2012","Non-Special Education","Total Cohort Count","Number",259
"Regional School District 15","","2016-2017","Non-Special Education","Four Year Graduation Count","Number",259
"Bridgeport School District","900108070","2011-2012","Non-Special Education","Other Count","Number",258
"East Lyme School District","901123400","2012-2013","Non-Special Education","Four Year Graduation Count","Number",258
"West Haven School District","900982870","2011-2012","Non-Special Education","Four Year Graduation Count","Number",258
"Woodstock Academy District","","2012-2013","Non-Special Education","Four Year Graduation Count","Number",258
"Middletown School District","900747360","2015-2016","Non-Special Education","Four Year Graduation Count","Number",257
"Vernon School District","901378250","2013-2014","Non-Special Education","Total Cohort Count","Number",257
"Wilton School District","900186370","2013-2014","Non-Special Education","Four Year Graduation Count","Number",257
"Woodstock Academy District","","2011-2012","Non-Special Education","Four Year Graduation Count","Number",257
"Monroe School District","900148620","2015-2016","Non-Special Education","Four Year Graduation Count","Number",256
"North Haven School District","900954870","2014-2015","Non-Special Education","Total Cohort Count","Number",256
"Naugatuck School District","900949950","2016-2017","Non-Special Education","Total Cohort Count","Number",255
"Torrington School District","900576570","2011-2012","Non-Special Education","Total Cohort Count","Number",255
"Unified School District #1","","2012-2013","Non-Special Education","Total Cohort Count","Number",255
"Waterford School District","901180280","2010-2011","Non-Special Education","Total Cohort Count","Number",255
"Woodstock Academy District","","2013-2014","Non-Special Education","Total Cohort Count","Number",255
"Groton School District","901134250","2010-2011","Non-Special Education","Four Year Graduation Count","Number",254
"Branford School District","900907310","2013-2014","Non-Special Education","Total Cohort Count","Number",253
"Brookfield School District","900108980","2010-2011","Non-Special Education","Total Cohort Count","Number",253
"Guilford School District","900934950","2013-2014","Non-Special Education","Total Cohort Count","Number",253
"Middletown School District","900747360","2014-2015","Non-Special Education","Four Year Graduation Count","Number",253
"Windsor School District","900387000","2013-2014","Non-Special Education","Total Cohort Count","Number",253
"Monroe School District","900148620","2016-2017","Non-Special Education","Total Cohort Count","Number",252
"North Haven School District","900954870","2011-2012","Non-Special Education","Four Year Graduation Count","Number",252
"North Haven School District","900954870","2012-2013","Non-Special Education","Four Year Graduation Count","Number",252
"Regional School District 19","","2012-2013","Non-Special Education","Four Year Graduation Count","Number",252
"Waterbury School District","900980070","2014-2015","Non-Special Education","Other Count","Number",252
"Wethersfield School District","900384900","2014-2015","Non-Special Education","Total Cohort Count","Number",252
"East Lyme School District","901123400","2011-2012","Non-Special Education","Total Cohort Count","Number",251
"Guilford School District","900934950","2011-2012","Non-Special Education","Total Cohort Count","Number",251
"Naugatuck School District","900949950","2014-2015","Non-Special Education","Four Year Graduation Count","Number",251
"Regional School District 15","","2014-2015","Non-Special Education","Four Year Graduation Count","Number",251
"Regional School District 19","","2014-2015","Non-Special Education","Total Cohort Count","Number",251
"Torrington School District","900576570","2010-2011","Non-Special Education","Total Cohort Count","Number",251
"Windsor School District","900387000","2014-2015","Non-Special Education","Total Cohort Count","Number",251
"Guilford School District","900934950","2011-2012","Non-Special Education","Four Year Graduation Count","Number",250
"Middletown School District","900747360","2013-2014","Non-Special Education","Four Year Graduation Count","Number",250
"Monroe School District","900148620","2016-2017","Non-Special Education","Four Year Graduation Count","Number",250
"Regional School District 08","","2013-2014","Non-Special Education","Total Cohort Count","Number",250
"Naugatuck School District","900949950","2015-2016","Non-Special Education","Total Cohort Count","Number",249
"Newington School District","900352140","2015-2016","Non-Special Education","Four Year Graduation Count","Number",249
"Avon School District","900302060","2011-2012","Non-Special Education","Total Cohort Count","Number",248
"Branford School District","900907310","2010-2011","Non-Special Education","Total Cohort Count","Number",248
"Bridgeport School District","900108070","2014-2015","Non-Special Education","Other Count","Number",248
"Bridgeport School District","900108070","2015-2016","Special Education","Total Cohort Count","Number",248
"North Haven School District","900954870","2010-2011","Non-Special Education","Four Year Graduation Count","Number",248
"Regional School District 19","","2013-2014","Non-Special Education","Total Cohort Count","Number",248
"Waterbury School District","900980070","2014-2015","Special Education","Total Cohort Count","Number",248
"Regional School District 19","","2010-2011","Non-Special Education","Total Cohort Count","Number",247
"Wethersfield School District","900384900","2011-2012","Non-Special Education","Four Year Graduation Count","Number",247
"Windsor School District","900387000","2011-2012","Non-Special Education","Four Year Graduation Count","Number",247
"Woodstock Academy District","","2013-2014","Non-Special Education","Four Year Graduation Count","Number",247
